Sr.no,imdb_id,tags,lemmatized_tags,lemmatized_tags_str,Vectorized_Tokens
1019,tt1266545,Chamku  Bobby DeolPriyanka ChopraIrrfan KhanAkhilendra MishraDeepal ShawNinad KamatDanny DenzongpaRiteish DeshmukhRajpal YadavArya BabbarMukesh BhattSulabha AryaSaifeeRosa Catalano 2008 Regular Movie ActionCrimeThriller Not Adult 5,"['Chamku', 'Bobby', 'DeolPriyanka', 'ChopraIrrfan', 'KhanAkhilendra', 'MishraDeepal', 'ShawNinad', 'KamatDanny', 'DenzongpaRiteish', 'DeshmukhRajpal', 'YadavArya', 'BabbarMukesh', 'BhattSulabha', 'AryaSaifeeRosa', 'Catalano', '2008', 'Regular', 'Movie', 'ActionCrimeThriller', 'Not', 'Adult', '5']",chamku bobby deolpriyanka choprairrfan khanakhilendra mishradeepal shawninad kamatdanny denzongpariteish deshmukhrajpal yadavarya babbarmukesh bhattsulabha aryasaifeerosa catalano 2008 regular movie actioncrimethriller not adult 5,[0. 0. 0. ... 0. 0. 0.]
1020,tt1287847,Mukhbiir  Sammir DattaniRahul DevOm PuriAlok NathKelly DorjiSushant SinghRaj ZutshiRaima SenSupriya KarnikBeneka 2008 Regular Movie CrimeDramaMystery Not Adult 4,"['Mukhbiir', 'Sammir', 'DattaniRahul', 'DevOm', 'PuriAlok', 'NathKelly', 'DorjiSushant', 'SinghRaj', 'ZutshiRaima', 'SenSupriya', 'KarnikBeneka', '2008', 'Regular', 'Movie', 'CrimeDramaMystery', 'Not', 'Adult', '4']",mukhbiir sammir dattanirahul devom purialok nathkelly dorjisushant singhraj zutshiraima sensupriya karnikbeneka 2008 regular movie crimedramamystery not adult 4,[0. 0. 0. ... 0. 0. 0.]
1021,tt1213928,Tahaan  Victor BanerjeePurav BhandareRahul BoseAnkush DubeyRasika DugalRahul KhannaAnupam KherFatima Sana Shaikh 2008 Regular Movie Drama Not Adult 4,"['Tahaan', 'Victor', 'BanerjeePurav', 'BhandareRahul', 'BoseAnkush', 'DubeyRasika', 'DugalRahul', 'KhannaAnupam', 'KherFatima', 'Sana', 'Shaikh', '2008', 'Regular', 'Movie', 'Drama', 'Not', 'Adult', '4']",tahaan victor banerjeepurav bhandarerahul boseankush dubeyrasika dugalrahul khannaanupam kherfatima sana shaikh 2008 regular movie drama not adult 4,[0. 0. 0. ... 0. 0. 0.]
1022,tt1301698,1920  Rajniesh DuggallAdah SharmaAnjori AlaghRaj ZutshiVipin SharmaAmin Hajee 2008 Regular Movie HorrorMysteryRomance Not Adult 3,"['1920', 'Rajniesh', 'DuggallAdah', 'SharmaAnjori', 'AlaghRaj', 'ZutshiVipin', 'SharmaAmin', 'Hajee', '2008', 'Regular', 'Movie', 'HorrorMysteryRomance', 'Not', 'Adult', '3']",1920 rajniesh duggalladah sharmaanjori alaghraj zutshivipin sharmaamin hajee 2008 regular movie horrormysteryromance not adult 3,[0.         0.         0.         ... 0.33612996 0.         0.        ]
1023,tt1039969,The Last Lear  Amitabh BachchanPreity ZintaArjun RampalShefali ShahJishu SenguptaDivya DuttaShahbaaz KhanSudip MukherjeePrasenjit Chatterjee 2007 Regular Movie Drama Not Adult 4,"['The', 'Last', 'Lear', 'Amitabh', 'BachchanPreity', 'ZintaArjun', 'RampalShefali', 'ShahJishu', 'SenguptaDivya', 'DuttaShahbaaz', 'KhanSudip', 'MukherjeePrasenjit', 'Chatterjee', '2007', 'Regular', 'Movie', 'Drama', 'Not', 'Adult', '4']",the last lear amitabh bachchanpreity zintaarjun rampalshefali shahjishu senguptadivya duttashahbaaz khansudip mukherjeeprasenjit chatterjee 2007 regular movie drama not adult 4,[0. 0. 0. ... 0. 0. 0.]
1024,tt1221139,Welcome to Sajjanpur  Shreyas TalpadeAmrita RaoRavi KishanIla ArunRajeshwari SachdevDivya DuttaYashpal SharmaRavi JhankalLalit Mohan TiwariShri Vallabh VyasMasood AkhtarDaya Shankar PandeySatish SharmaMangala Kenkre 2008 Regular Movie ComedyDrama Not Adult 3,"['Welcome', 'Sajjanpur', 'Shreyas', 'TalpadeAmrita', 'RaoRavi', 'KishanIla', 'ArunRajeshwari', 'SachdevDivya', 'DuttaYashpal', 'SharmaRavi', 'JhankalLalit', 'Mohan', 'TiwariShri', 'Vallabh', 'VyasMasood', 'AkhtarDaya', 'Shankar', 'PandeySatish', 'SharmaMangala', 'Kenkre', '2008', 'Regular', 'Movie', 'ComedyDrama', 'Not', 'Adult', '3']",welcome sajjanpur shreyas talpadeamrita raoravi kishanila arunrajeshwari sachdevdivya duttayashpal sharmaravi jhankallalit mohan tiwarishri vallabh vyasmasood akhtardaya shankar pandeysatish sharmamangala kenkre 2008 regular movie comedydrama not adult 3,[0. 0. 0. ... 0. 0. 0.]
1025,tt1241334,Saas Bahu Aur Sensex  Kiron KherFarooq ShaikhAnkur KhannaMasumeh MakhijaLillete DubeyTanushree DuttaSharon PrabhakarShehnaz AnandMukta BarveDivyatta SinghSeema AzmiAnoushka AnandFarid CurrimChirjot Singh Kohli 2008 Regular Movie ComedyDrama Not Adult 4,"['Saas', 'Bahu', 'Aur', 'Sensex', 'Kiron', 'KherFarooq', 'ShaikhAnkur', 'KhannaMasumeh', 'MakhijaLillete', 'DubeyTanushree', 'DuttaSharon', 'PrabhakarShehnaz', 'AnandMukta', 'BarveDivyatta', 'SinghSeema', 'AzmiAnoushka', 'AnandFarid', 'CurrimChirjot', 'Singh', 'Kohli', '2008', 'Regular', 'Movie', 'ComedyDrama', 'Not', 'Adult', '4']",saas bahu aur sensex kiron kherfarooq shaikhankur khannamasumeh makhijalillete dubeytanushree duttasharon prabhakarshehnaz anandmukta barvedivyatta singhseema azmianoushka anandfarid currimchirjot singh kohli 2008 regular movie comedydrama not adult 4,[0. 0. 0. ... 0. 0. 0.]
1026,tt1255873,Hari Puttar A Comedy of Terrors  Jackie ShroffSarikaSaurabh ShuklaVijay RaazLillete DubeySwini KharaAnsa BhattAditya KapadiaKhurshed LawyerManish C PandyaManmeet SinghMaya FauljanaMax EpsteinMohan Chopra 2008 Regular Movie ComedyDramaFamily Not Adult 5,"['Hari', 'Puttar', 'A', 'Comedy', 'Terrors', 'Jackie', 'ShroffSarikaSaurabh', 'ShuklaVijay', 'RaazLillete', 'DubeySwini', 'KharaAnsa', 'BhattAditya', 'KapadiaKhurshed', 'LawyerManish', 'C', 'PandyaManmeet', 'SinghMaya', 'FauljanaMax', 'EpsteinMohan', 'Chopra', '2008', 'Regular', 'Movie', 'ComedyDramaFamily', 'Not', 'Adult', '5']",hari puttar a comedy terrors jackie shroffsarikasaurabh shuklavijay raazlillete dubeyswini kharaansa bhattaditya kapadiakhurshed lawyermanish c pandyamanmeet singhmaya fauljanamax epsteinmohan chopra 2008 regular movie comedydramafamily not adult 5,[0. 0. 0. ... 0. 0. 0.]
1027,tt1060249,Drona  Jayshree AroraVeer AryaAbhishek BachchanJaya BachchanPriyanka ChopraTatána FischerováGaurav GuptaVinay JainKaran Veer MehraKay Kay MenonAkhilendra MishraNavneet Nishan 2008 Regular Movie ActionAdventureFantasy Not Adult 5,"['Drona', 'Jayshree', 'AroraVeer', 'AryaAbhishek', 'BachchanJaya', 'BachchanPriyanka', 'ChopraTatána', 'FischerováGaurav', 'GuptaVinay', 'JainKaran', 'Veer', 'MehraKay', 'Kay', 'MenonAkhilendra', 'MishraNavneet', 'Nishan', '2008', 'Regular', 'Movie', 'ActionAdventureFantasy', 'Not', 'Adult', '5']",drona jayshree aroraveer aryaabhishek bachchanjaya bachchanpriyanka chopratatána fischerovágaurav guptavinay jainkaran veer mehrakay kay menonakhilendra mishranavneet nishan 2008 regular movie actionadventurefantasy not adult 5,[0. 0. 0. ... 0. 0. 0.]
1028,tt1087856,Hello  Sharman JoshiAmrita AroraSohail KhanIsha KoppikarKatrina KaifArbaaz KhanSalman KhanGul Panag 2008 Regular Movie DramaRomance Not Adult 5,"['Hello', 'Sharman', 'JoshiAmrita', 'AroraSohail', 'KhanIsha', 'KoppikarKatrina', 'KaifArbaaz', 'KhanSalman', 'KhanGul', 'Panag', '2008', 'Regular', 'Movie', 'DramaRomance', 'Not', 'Adult', '5']",hello sharman joshiamrita arorasohail khanisha koppikarkatrina kaifarbaaz khansalman khangul panag 2008 regular movie dramaromance not adult 5,[0. 0. 0. ... 0. 0. 0.]
