Sr.no,imdb_id,original_title,actors,is_adult,year_of_release,runtime,genres,review
1325,tt0405507,Murder,"Mallika Sherawat,Ashmit Patel,Emraan Hashmi,Kashmira Shah,Raj Zutshi,",Not Adult,2004,Regular Movie,"Drama,Thriller",3
1326,tt0382383,Yuva,"Ajay Devgn,Abhishek Bachchan,Rani Mukerji,Vivek Oberoi,Kareena Kapoor,Esha Deol,Om Puri,Sonu Sood,Anant Nag,Vijay Raaz,Loveleen Mishra,",Not Adult,2004,Long Movie,"Action,Drama,Thriller",3
1327,tt0418460,Aitraaz,"Akshay Kumar,Kareena Kapoor,Priyanka Chopra,Amrish Puri,Paresh Rawal,Annu Kapoor,",Not Adult,2004,Long Movie,"Drama,Romance,Thriller",3
1328,tt0377340,Aetbaar,"Amitabh Bachchan,John Abraham,Bipasha Basu,Supriya Pilgaonkar,Ali Asgar,Shruti Ulfat,Ramona Sunavala,Tom Alter,Sumukhi Pendse,Arun Kannan,Raja Sevak,Dibyendu Bhattacharya,Pramod Moutho,Prithvi Zutshi,",Not Adult,2004,Long Movie,"Action,Drama,Musical",5
1329,tt0397882,Ab Tumhare Hawale Watan Saathiyo,"Amitabh Bachchan,Akshay Kumar,Bobby Deol,Divya Khosla Kumar,Sandali Sinha,Nagma,Aarti Chhabria,Kapil Kaustubh Sharma,Surendra Pal,Rajesh Vivek,Vivek Shauq,Danny Denzongpa,Govind Namdeo,Vishwajeet Pradhan,",Not Adult,2004,Long Movie,"Action,Drama,War",5
1330,tt0363409,Aan: Men at Work,"Shatrughan Sinha,Akshay Kumar,Sunil Shetty,Paresh Rawal,Jackie Shroff,Irrfan Khan,Om Puri,Rahul Dev,Raveena Tandon,Lara Dutta,Preeti Jhangiani,Vijay Raaz,Rajpal Yadav,Manoj Joshi,",Not Adult,2004,Regular Movie,"Action,Crime,Drama",3
1331,tt0409724,Bardaasht,"Bobby Deol,Lara Dutta,Rahul Dev,Riteish Deshmukh,",Not Adult,2004,Long Movie,"Action,Crime,Drama",4
1332,tt0383975,Chameli,"Kareena Kapoor,Rahul Bose,Rinke Khanna,Yashpal Sharma,Makrand Deshpande,Kabir Sadanand,Pankaj Jha,Satyajit Sharma,Panne Chatterjee,Tarun Shukla,Aniket Vishwasrao,Deepak Qazir,Master Vinni Pachori,Dinkar Gavande,",Not Adult,2003,Regular Movie,Drama,3
1333,tt0363413,Agni Pankh,"Jimmy Sheirgill,Sameer Dharmadhikari,Rahul Dev,Shamita Shetty,Richa Pallod,Akshay Anand,Divya Dutta,Ashish Vidyarthi,Kulbhushan Kharbanda,Vrajesh Hirjee,Kiran Kumar,Benjamin Gilani,Vishwajeet Pradhan,Daya Shankar Pandey,",Not Adult,2004,Regular Movie,"Drama,Romance",4
1334,tt0368580,Asambhav,"Arjun Rampal,Naseeruddin Shah,Priyanka Chopra,Singh Surendra,Yashpal Sharma,Mukesh Rishi,Mohan Agashe,Shawar Ali,Tom Alter,Milind Gunaji,Shabhir,Dipannita Sharma,Arif Zakaria,",Not Adult,2004,Regular Movie,"Action,Adventure,Drama",5
1335,tt0410952,Charas: A Joint Effort,"Jimmy Sheirgill,Uday Chopra,Irrfan Khan,Hrishitaa Bhatt,Namrata Shirodkar,Adam Bedi,Varun Badola,Anup Soni,Sanjay Mishra,Deepak Dobriyal,",Not Adult,2004,Regular Movie,"Action,Thriller",4
1336,tt0387989,Deewaar: Let's Bring Our Heroes Home,"Amitabh Bachchan,Sanjay Dutt,Akshaye Khanna,Amrita Rao,Raghuvir Yadav,Kay Kay Menon,Akhilendra Mishra,Tanuja,",Not Adult,2004,Long Movie,"Action,Drama,Thriller",3
1337,tt0364303,Dev,"Amitabh Bachchan,Om Puri,Fardeen Khan,Kareena Kapoor,Amrish Puri,Rati Agnihotri,Milind Gunaji,Ehsan Khan,Pramod Moutho,Achyut Potdar,Rajesh Tailang,",Not Adult,2004,Long Movie,Drama,3
1338,tt0328729,Dil Maange More!!!,"Shahid Kapoor,Ayesha Takia,Tulip Joshi,Soha Ali Khan,Gulshan Grover,Zarina Wahab,Kanwaljit Singh,A.K. Hangal,Hiten Paintal,Smita Jaykar,",Not Adult,2004,Regular Movie,"Family,Musical,Romance",3
1339,tt0396563,Dil Ne Jise Apna Kaha,"Salman Khan,Preity Zinta,Bhoomika Chawla,Rati Agnihotri,Helen,Renuka Shahane,Aashif Sheikh,Viju Khote,Riya Sen,Delnaaz Irani,",Not Adult,2004,Regular Movie,Romance,5
1340,tt0430030,Dobara,"Jackie Shroff,Raveena Tandon,Mahima Chaudhry,Gulshan Grover,Soni Razdan,Vrajesh Hirjee,Seema Biswas,Moammar Rana,",Not Adult,2004,Regular Movie,"Drama,Musical",5
1341,tt1137434,Aabra Ka Daabra,"Naveen Bawa,Prabhu Deva,Satish Kaushik,Anupam Kher,Krrishna,Vishal Lalwani,Johnny Lever,Hansika Motwani,Athit Naik,Archana Puran Singh,Tiara,",Not Adult,2004,Regular Movie,Fantasy,5
1342,tt0432506,Dil Bechara Pyaar Ka Maara,"Vikaas Kalantari,Aslam Khan,Divya Palat,Rajpal Yadav,Shehzad Khan,Sanjay Kumar,Krishna Bhatt,Aman Sondhi,Mallika Kapur,Jonita Doda,Sharad Vyas,Ghanshyam Garg,Asha Bacchani,Sharad Sharma,",Not Adult,2004,Regular Movie,"Comedy,Romance",5
1343,tt0414040,Gayab,"Tusshar Kapoor,Antara Mali,Raghuvir Yadav,Rasika Joshi,",Not Adult,2004,Regular Movie,"Drama,Fantasy,Thriller",5
1344,tt0422236,Fida,"Kareena Kapoor,Fardeen Khan,Shahid Kapoor,Kim Sharma,",Not Adult,2004,Regular Movie,"Action,Crime,Drama",3
1345,tt0415003,Garv: Pride and Honour,"Salman Khan,Shilpa Shetty Kundra,Arbaaz Khan,Farida Jalal,Amrish Puri,Mohan Joshi,Govind Namdeo,Mukesh Rishi,Shivaji Satam,Vijayendra Ghatge,Reshma Bombaywala,Rajpal Yadav,Kulbhushan Kharbanda,Anupam Kher,",Not Adult,2004,Long Movie,"Action,Crime,Drama",3
1346,tt0338959,Ek Se Badhkar Ek,"Sunil Shetty,Raveena Tandon,Shekhar Suman,Isha Koppikar,Asrani,Deepak Shirke,Makrand Deshpande,Vivek Shauq,Rana Jung Bahadur,Sadashiv Amrapurkar,Shakti Kapoor,Gulshan Grover,",Not Adult,2004,Regular Movie,"Comedy,Thriller",5
